model_a,model_b,mean_difference_a_minus_b,wilcoxon_statistic,p_value,standardized_mean_difference_pooled_sd,n_common_questions,bh_adjusted_p,bh_significant_0_05
command-a-03-2025,deepseek-v4-flash,-0.1209,8805.0,0.0002764314,-0.1284,229,0.0003922338,True
command-a-03-2025,gemma-4-12b-it-q8_0-llamacpp-a6000,0.5462,2581.0,0.0,0.7569,229,0.0,True
command-a-03-2025,gemma-4-31b-it,-0.1329,7337.5,9.3e-08,-0.1535,229,1.526e-07,True
command-a-03-2025,glm-5.1,-0.0977,8962.0,0.00197768,-0.106,229,0.0026285621,True
command-a-03-2025,hermes-3-llama-3.1-405b,-0.3906,3385.5,0.0,-0.4845,229,0.0,True
command-a-03-2025,llada2.1-flash,0.4188,2746.0,0.0,0.5534,229,0.0,True
command-a-03-2025,llama-3.3-70b-instruct,-0.1129,10114.5,0.0058688653,-0.1411,229,0.0076077883,True
command-a-03-2025,llama4-maverick-17b-128e-moe,-0.2005,7317.0,4.744e-07,-0.2466,229,7.434e-07,True
command-a-03-2025,mistral-medium-3.5,0.0386,10890.5,0.1809485612,0.0419,229,0.2111066547,False
command-a-03-2025,qwen3.5-122b-a10b,0.0073,11947.0,0.5748689268,0.0078,229,0.597636013,False
command-a-03-2025,qwen3.5-397b-a17b-moe,-0.1512,7958.0,5.9969e-06,-0.1584,229,9.1257e-06,True
command-a-03-2025,qwen3.5-9b,0.4826,988.0,0.0,0.6339,229,0.0,True
command-a-03-2025,qwen3.6-27b-fp8,0.089,9112.0,0.0024589467,0.0992,229,0.0032273675,True
command-a-03-2025,qwen3.6-35b-a3b-q8_0,0.0827,9411.5,0.0019697469,0.0941,229,0.0026285621,True
deepseek-v4-flash,gemma-4-12b-it-q8_0-llamacpp-a6000,0.667,2730.0,0.0,0.8146,229,0.0,True
deepseek-v4-flash,gemma-4-31b-it,-0.012,10411.5,0.2289582274,-0.0127,229,0.2613110204,False
deepseek-v4-flash,glm-5.1,0.0231,9683.0,0.5712581713,0.0231,229,0.597636013,False
deepseek-v4-flash,hermes-3-llama-3.1-405b,-0.2697,6839.5,1.87e-08,-0.3016,229,3.22e-08,True
deepseek-v4-flash,llada2.1-flash,0.5396,2472.0,0.0,0.6348,229,0.0,True
deepseek-v4-flash,llama-3.3-70b-instruct,0.008,11899.5,0.4706621041,0.009,229,0.5042808258,False
deepseek-v4-flash,llama4-maverick-17b-128e-moe,-0.0796,11015.5,0.2727928616,-0.0884,229,0.3047154305,False
deepseek-v4-flash,mistral-medium-3.5,0.1595,4282.5,0.0,0.1593,229,0.0,True
deepseek-v4-flash,qwen3.5-122b-a10b,0.1281,5329.0,1e-10,0.1269,229,2e-10,True
deepseek-v4-flash,qwen3.5-397b-a17b-moe,-0.0303,8803.5,0.0391474079,-0.0295,229,0.0472468716,True
deepseek-v4-flash,qwen3.5-9b,0.6035,657.5,0.0,0.7065,229,0.0,True
deepseek-v4-flash,qwen3.6-27b-fp8,0.2098,4104.5,0.0,0.2149,229,0.0,True
deepseek-v4-flash,qwen3.6-35b-a3b-q8_0,0.2036,4543.5,0.0,0.212,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,gemma-4-31b-it,-0.6791,1084.5,0.0,-0.9286,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,glm-5.1,-0.6439,2676.0,0.0,-0.8076,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,hermes-3-llama-3.1-405b,-0.9368,270.5,0.0,-1.4209,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,llada2.1-flash,-0.1274,9747.5,0.0060682813,-0.2131,229,0.0077703602,True
gemma-4-12b-it-q8_0-llamacpp-a6000,llama-3.3-70b-instruct,-0.6591,1434.5,0.0,-1.0112,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,llama4-maverick-17b-128e-moe,-0.7467,1434.0,0.0,-1.1184,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,mistral-medium-3.5,-0.5075,5287.0,0.0,-0.6359,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,qwen3.5-122b-a10b,-0.5389,4126.0,0.0,-0.666,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,qwen3.5-397b-a17b-moe,-0.6974,2573.5,0.0,-0.836,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,qwen3.5-9b,-0.0635,12080.5,0.8458581703,-0.1052,229,0.8539914219,False
gemma-4-12b-it-q8_0-llamacpp-a6000,qwen3.6-27b-fp8,-0.4572,4965.0,0.0,-0.5959,229,0.0,True
gemma-4-12b-it-q8_0-llamacpp-a6000,qwen3.6-35b-a3b-q8_0,-0.4635,4574.0,0.0,-0.6211,229,0.0,True
gemma-4-31b-it,glm-5.1,0.0352,10270.5,0.1742972169,0.0378,229,0.205631548,False
gemma-4-31b-it,hermes-3-llama-3.1-405b,-0.2577,6618.0,1.2e-09,-0.3162,229,2.1e-09,True
gemma-4-31b-it,llada2.1-flash,0.5517,970.5,0.0,0.7202,229,0.0,True
gemma-4-31b-it,llama-3.3-70b-instruct,0.02,11285.5,0.3576122294,0.0247,229,0.3911383759,False
gemma-4-31b-it,llama4-maverick-17b-128e-moe,-0.0676,10952.0,0.2914918472,-0.0823,229,0.3221751995,False
gemma-4-31b-it,mistral-medium-3.5,0.1715,6022.0,0.0,0.1843,229,1e-10,True
gemma-4-31b-it,qwen3.5-122b-a10b,0.1402,6406.5,3.02e-08,0.1491,229,5.12e-08,True
gemma-4-31b-it,qwen3.5-397b-a17b-moe,-0.0183,10501.5,0.7609534169,-0.019,229,0.7757292114,False
gemma-4-31b-it,qwen3.5-9b,0.6155,507.0,0.0,0.7988,229,0.0,True
gemma-4-31b-it,qwen3.6-27b-fp8,0.2219,4359.5,0.0,0.2453,229,0.0,True
gemma-4-31b-it,qwen3.6-35b-a3b-q8_0,0.2156,4649.5,0.0,0.2432,229,0.0,True
glm-5.1,hermes-3-llama-3.1-405b,-0.2928,6525.5,2e-10,-0.3348,229,5e-10,True
glm-5.1,llada2.1-flash,0.5165,2453.5,0.0,0.6229,229,0.0,True
glm-5.1,llama-3.3-70b-instruct,-0.0151,12548.0,0.957292376,-0.0174,229,0.957292376,False
glm-5.1,llama4-maverick-17b-128e-moe,-0.1027,10472.5,0.0595446564,-0.1166,229,0.0710476014,False
glm-5.1,mistral-medium-3.5,0.1364,6039.5,1e-10,0.1387,229,1e-10,True
glm-5.1,qwen3.5-122b-a10b,0.105,6685.0,1.687e-07,0.1058,229,2.726e-07,True
glm-5.1,qwen3.5-397b-a17b-moe,-0.0535,8502.0,0.0156432377,-0.0528,229,0.0195540471,True
glm-5.1,qwen3.5-9b,0.5804,726.5,0.0,0.6963,229,0.0,True
glm-5.1,qwen3.6-27b-fp8,0.1867,4887.0,0.0,0.1948,229,0.0,True
glm-5.1,qwen3.6-35b-a3b-q8_0,0.1805,5397.5,0.0,0.1916,229,0.0,True
hermes-3-llama-3.1-405b,llada2.1-flash,0.8094,355.0,0.0,1.1602,229,0.0,True
hermes-3-llama-3.1-405b,llama-3.3-70b-instruct,0.2777,4823.0,0.0,0.3731,229,0.0,True
hermes-3-llama-3.1-405b,llama4-maverick-17b-128e-moe,0.1901,7182.5,5.92e-08,0.2507,229,9.86e-08,True
hermes-3-llama-3.1-405b,mistral-medium-3.5,0.4292,4011.5,0.0,0.4904,229,0.0,True
hermes-3-llama-3.1-405b,qwen3.5-122b-a10b,0.3979,4924.5,0.0,0.4494,229,0.0,True
hermes-3-llama-3.1-405b,qwen3.5-397b-a17b-moe,0.2394,7785.5,1.6522e-06,0.2635,229,2.5512e-06,True
hermes-3-llama-3.1-405b,qwen3.5-9b,0.8732,338.0,0.0,1.2427,229,0.0,True
hermes-3-llama-3.1-405b,qwen3.6-27b-fp8,0.4795,3534.0,0.0,0.566,229,0.0,True
hermes-3-llama-3.1-405b,qwen3.6-35b-a3b-q8_0,0.4733,2933.0,0.0,0.5715,229,0.0,True
llada2.1-flash,llama-3.3-70b-instruct,-0.5317,1259.0,0.0,-0.77,229,0.0,True
llada2.1-flash,llama4-maverick-17b-128e-moe,-0.6193,1461.0,0.0,-0.8778,229,0.0,True
llada2.1-flash,mistral-medium-3.5,-0.3801,4561.5,0.0,-0.4579,229,0.0,True
llada2.1-flash,qwen3.5-122b-a10b,-0.4115,4106.5,0.0,-0.4895,229,0.0,True
llada2.1-flash,qwen3.5-397b-a17b-moe,-0.57,1977.5,0.0,-0.6591,229,0.0,True
llada2.1-flash,qwen3.5-9b,0.0639,8539.0,0.0003846682,0.0989,229,0.0005385355,True
llada2.1-flash,qwen3.6-27b-fp8,-0.3298,4293.5,0.0,-0.4121,229,0.0,True
llada2.1-flash,qwen3.6-35b-a3b-q8_0,-0.3361,3965.0,0.0,-0.4307,229,0.0,True
