model,domain_id,question_id,run_number,codex,claude,deepseek
command-a-03-2025,1,494,1,4.25,3.65,4.75
command-a-03-2025,1,494,2,4.25,3.4,5.0
command-a-03-2025,1,494,3,4.25,3.8,5.0
deepseek-v4-flash,1,494,1,4.45,4.25,4.25
deepseek-v4-flash,1,494,2,4.6,4.75,5.0
deepseek-v4-flash,1,494,3,5.0,4.75,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,494,1,2.4,2.15,2.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,494,2,2.4,2.4,3.15
gemma-4-12b-it-q8_0-llamacpp-a6000,1,494,3,2.0,1.65,2.65
gemma-4-31b-it,1,494,1,4.6,4.75,5.0
gemma-4-31b-it,1,494,2,4.6,4.75,5.0
gemma-4-31b-it,1,494,3,5.0,4.4,4.4
glm-5.1,1,494,1,3.6,4.25,4.25
glm-5.1,1,494,2,4.25,4.15,4.15
glm-5.1,1,494,3,4.0,4.65,4.4
hermes-3-llama-3.1-405b,1,494,1,4.4,4.4,5.0
hermes-3-llama-3.1-405b,1,494,2,4.4,3.8,4.4
hermes-3-llama-3.1-405b,1,494,3,4.15,4.15,5.0
llada2.1-flash,1,494,1,2.4,2.4,2.9
llada2.1-flash,1,494,2,2.6,2.55,2.25
llada2.1-flash,1,494,3,3.2,3.6,3.6
llama-3.3-70b-instruct,1,494,1,4.25,4.4,4.25
llama-3.3-70b-instruct,1,494,2,4.0,4.0,4.75
llama-3.3-70b-instruct,1,494,3,4.6,4.0,5.0
llama4-maverick-17b-128e-moe,1,494,1,5.0,4.15,5.0
llama4-maverick-17b-128e-moe,1,494,2,5.0,4.4,5.0
llama4-maverick-17b-128e-moe,1,494,3,4.4,4.4,5.0
mistral-medium-3.5,1,494,1,4.6,4.4,4.75
mistral-medium-3.5,1,494,2,4.4,4.4,5.0
mistral-medium-3.5,1,494,3,4.25,4.4,5.0
qwen3.5-122b-a10b,1,494,1,4.6,4.6,5.0
qwen3.5-122b-a10b,1,494,2,4.6,3.75,4.25
qwen3.5-122b-a10b,1,494,3,4.6,4.4,5.0
qwen3.5-397b-a17b-moe,1,494,1,4.6,4.65,5.0
qwen3.5-397b-a17b-moe,1,494,2,4.6,4.0,4.25
qwen3.5-397b-a17b-moe,1,494,3,4.6,4.4,4.85
qwen3.5-9b,1,494,1,1.65,2.65,2.4
qwen3.5-9b,1,494,2,3.0,3.75,3.25
qwen3.5-9b,1,494,3,3.75,3.75,5.0
qwen3.6-27b-fp8,1,494,1,4.6,4.4,5.0
qwen3.6-27b-fp8,1,494,2,4.6,4.15,5.0
qwen3.6-27b-fp8,1,494,3,4.35,4.65,4.1
qwen3.6-35b-a3b-q8_0,1,494,1,4.6,4.6,5.0
qwen3.6-35b-a3b-q8_0,1,494,2,4.0,3.9,4.65
qwen3.6-35b-a3b-q8_0,1,494,3,5.0,4.65,5.0
command-a-03-2025,1,495,1,4.6,4.75,5.0
command-a-03-2025,1,495,2,4.75,4.75,5.0
command-a-03-2025,1,495,3,5.0,4.75,5.0
deepseek-v4-flash,1,495,1,3.6,4.4,4.4
deepseek-v4-flash,1,495,2,5.0,4.65,4.65
deepseek-v4-flash,1,495,3,4.6,4.75,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,495,1,2.85,2.85,2.6
gemma-4-12b-it-q8_0-llamacpp-a6000,1,495,2,2.25,2.9,1.65
gemma-4-12b-it-q8_0-llamacpp-a6000,1,495,3,2.25,2.65,1.9
gemma-4-31b-it,1,495,1,5.0,5.0,5.0
gemma-4-31b-it,1,495,2,4.25,4.75,4.4
gemma-4-31b-it,1,495,3,4.65,5.0,5.0
glm-5.1,1,495,1,4.6,3.75,4.6
glm-5.1,1,495,2,4.85,5.0,5.0
glm-5.1,1,495,3,4.85,4.85,5.0
hermes-3-llama-3.1-405b,1,495,1,4.6,4.75,5.0
hermes-3-llama-3.1-405b,1,495,2,4.2,4.6,4.45
hermes-3-llama-3.1-405b,1,495,3,4.75,4.75,5.0
llada2.1-flash,1,495,1,4.25,3.9,5.0
llada2.1-flash,1,495,2,4.25,4.0,4.25
llada2.1-flash,1,495,3,4.6,3.65,5.0
llama-3.3-70b-instruct,1,495,1,4.35,3.75,5.0
llama-3.3-70b-instruct,1,495,2,4.75,4.4,5.0
llama-3.3-70b-instruct,1,495,3,5.0,4.4,5.0
llama4-maverick-17b-128e-moe,1,495,1,3.85,4.25,4.0
llama4-maverick-17b-128e-moe,1,495,2,4.25,4.15,4.0
llama4-maverick-17b-128e-moe,1,495,3,4.4,4.0,4.75
mistral-medium-3.5,1,495,1,4.6,5.0,5.0
mistral-medium-3.5,1,495,2,4.6,4.75,5.0
mistral-medium-3.5,1,495,3,4.75,5.0,5.0
qwen3.5-122b-a10b,1,495,1,5.0,4.4,5.0
qwen3.5-122b-a10b,1,495,2,4.6,4.85,5.0
qwen3.5-122b-a10b,1,495,3,4.6,4.6,4.25
qwen3.5-397b-a17b-moe,1,495,1,5.0,5.0,5.0
qwen3.5-397b-a17b-moe,1,495,2,4.6,4.85,5.0
qwen3.5-397b-a17b-moe,1,495,3,4.85,5.0,5.0
qwen3.5-9b,1,495,1,3.45,3.65,4.25
qwen3.5-9b,1,495,2,3.45,3.35,3.6
qwen3.5-9b,1,495,3,4.1,3.5,4.0
qwen3.6-27b-fp8,1,495,1,4.6,4.85,5.0
qwen3.6-27b-fp8,1,495,2,4.6,4.4,5.0
qwen3.6-27b-fp8,1,495,3,4.6,4.85,5.0
qwen3.6-35b-a3b-q8_0,1,495,1,4.2,4.45,4.45
qwen3.6-35b-a3b-q8_0,1,495,2,4.6,4.4,5.0
qwen3.6-35b-a3b-q8_0,1,495,3,4.2,4.6,5.0
command-a-03-2025,1,496,1,5.0,4.75,5.0
command-a-03-2025,1,496,2,4.6,4.75,5.0
command-a-03-2025,1,496,3,4.75,4.4,5.0
deepseek-v4-flash,1,496,1,4.85,4.75,5.0
deepseek-v4-flash,1,496,2,4.6,4.6,4.6
deepseek-v4-flash,1,496,3,4.6,4.75,4.6
gemma-4-12b-it-q8_0-llamacpp-a6000,1,496,1,2.85,3.25,2.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,496,2,3.35,3.4,3.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,496,3,3.85,3.75,3.75
gemma-4-31b-it,1,496,1,4.5,4.6,4.15
gemma-4-31b-it,1,496,2,4.6,5.0,4.4
gemma-4-31b-it,1,496,3,4.6,4.75,4.15
glm-5.1,1,496,1,4.6,4.85,5.0
glm-5.1,1,496,2,4.6,5.0,5.0
glm-5.1,1,496,3,4.6,4.6,5.0
hermes-3-llama-3.1-405b,1,496,1,4.75,4.75,5.0
hermes-3-llama-3.1-405b,1,496,2,4.6,4.75,4.75
hermes-3-llama-3.1-405b,1,496,3,4.6,4.75,5.0
llada2.1-flash,1,496,1,4.6,4.6,4.6
llada2.1-flash,1,496,2,3.85,4.05,4.25
llada2.1-flash,1,496,3,4.6,4.6,4.6
llama-3.3-70b-instruct,1,496,1,4.6,4.4,5.0
llama-3.3-70b-instruct,1,496,2,5.0,4.75,5.0
llama-3.3-70b-instruct,1,496,3,4.75,4.4,4.85
llama4-maverick-17b-128e-moe,1,496,1,4.0,4.75,4.15
llama4-maverick-17b-128e-moe,1,496,2,4.0,4.5,4.4
llama4-maverick-17b-128e-moe,1,496,3,3.85,4.85,4.0
mistral-medium-3.5,1,496,1,4.85,4.75,5.0
mistral-medium-3.5,1,496,2,5.0,4.75,4.65
mistral-medium-3.5,1,496,3,4.75,4.75,5.0
qwen3.5-122b-a10b,1,496,1,4.2,4.45,4.1
qwen3.5-122b-a10b,1,496,2,4.6,4.6,4.85
qwen3.5-122b-a10b,1,496,3,3.6,4.6,4.4
qwen3.5-397b-a17b-moe,1,496,1,4.6,5.0,4.85
qwen3.5-397b-a17b-moe,1,496,2,4.85,5.0,5.0
qwen3.5-397b-a17b-moe,1,496,3,4.6,4.85,5.0
qwen3.5-9b,1,496,1,4.6,4.6,4.6
qwen3.5-9b,1,496,2,3.6,3.75,3.75
qwen3.5-9b,1,496,3,1.65,2.75,1.65
qwen3.6-27b-fp8,1,496,1,4.0,4.85,5.0
qwen3.6-27b-fp8,1,496,2,3.6,4.0,4.6
qwen3.6-27b-fp8,1,496,3,3.6,4.6,4.0
qwen3.6-35b-a3b-q8_0,1,496,1,4.2,4.45,4.25
qwen3.6-35b-a3b-q8_0,1,496,2,4.6,4.85,4.6
qwen3.6-35b-a3b-q8_0,1,496,3,4.2,4.35,3.85
command-a-03-2025,1,497,1,4.0,4.15,4.25
command-a-03-2025,1,497,2,4.25,4.15,4.0
command-a-03-2025,1,497,3,4.25,4.4,4.15
deepseek-v4-flash,1,497,1,4.0,4.4,4.25
deepseek-v4-flash,1,497,2,3.85,3.85,4.0
deepseek-v4-flash,1,497,3,4.0,4.5,4.4
gemma-4-12b-it-q8_0-llamacpp-a6000,1,497,1,2.25,2.4,1.5
gemma-4-12b-it-q8_0-llamacpp-a6000,1,497,2,3.0,2.8,1.5
gemma-4-12b-it-q8_0-llamacpp-a6000,1,497,3,2.65,3.4,1.9
gemma-4-31b-it,1,497,1,4.0,4.0,3.65
gemma-4-31b-it,1,497,2,3.75,3.75,3.4
gemma-4-31b-it,1,497,3,3.4,3.65,4.25
glm-5.1,1,497,1,3.0,3.4,3.25
glm-5.1,1,497,2,3.85,4.45,4.1
glm-5.1,1,497,3,3.85,4.6,4.25
hermes-3-llama-3.1-405b,1,497,1,4.0,4.15,4.15
hermes-3-llama-3.1-405b,1,497,2,3.6,4.0,3.5
hermes-3-llama-3.1-405b,1,497,3,4.15,3.8,4.25
llada2.1-flash,1,497,1,3.0,2.65,2.5
llada2.1-flash,1,497,2,2.85,2.25,2.25
llada2.1-flash,1,497,3,3.1,2.4,2.25
llama-3.3-70b-instruct,1,497,1,3.75,3.75,4.0
llama-3.3-70b-instruct,1,497,2,3.75,3.4,4.0
llama-3.3-70b-instruct,1,497,3,4.0,3.4,4.0
llama4-maverick-17b-128e-moe,1,497,1,3.6,3.9,3.0
llama4-maverick-17b-128e-moe,1,497,2,3.6,3.65,3.25
llama4-maverick-17b-128e-moe,1,497,3,2.85,3.4,3.25
mistral-medium-3.5,1,497,1,4.6,4.25,5.0
mistral-medium-3.5,1,497,2,4.6,4.4,4.75
mistral-medium-3.5,1,497,3,4.0,4.65,4.75
qwen3.5-122b-a10b,1,497,1,3.75,4.15,4.4
qwen3.5-122b-a10b,1,497,2,4.25,5.0,4.85
qwen3.5-122b-a10b,1,497,3,4.25,4.25,4.25
qwen3.5-397b-a17b-moe,1,497,1,3.6,4.5,4.25
qwen3.5-397b-a17b-moe,1,497,2,4.25,4.5,3.5
qwen3.5-397b-a17b-moe,1,497,3,4.6,4.85,4.85
qwen3.5-9b,1,497,1,2.6,3.15,2.4
qwen3.5-9b,1,497,2,3.85,3.85,3.25
qwen3.5-9b,1,497,3,2.85,3.1,2.25
qwen3.6-27b-fp8,1,497,1,3.6,3.6,3.85
qwen3.6-27b-fp8,1,497,2,3.6,4.0,3.25
qwen3.6-27b-fp8,1,497,3,3.6,4.35,4.4
qwen3.6-35b-a3b-q8_0,1,497,1,4.6,5.0,5.0
qwen3.6-35b-a3b-q8_0,1,497,2,4.6,5.0,5.0
qwen3.6-35b-a3b-q8_0,1,497,3,3.7,4.1,3.85
command-a-03-2025,1,498,1,4.6,4.75,5.0
command-a-03-2025,1,498,2,4.6,4.75,5.0
command-a-03-2025,1,498,3,4.6,5.0,5.0
deepseek-v4-flash,1,498,1,4.25,5.0,5.0
deepseek-v4-flash,1,498,2,4.6,4.85,5.0
deepseek-v4-flash,1,498,3,4.0,4.35,4.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,498,1,2.75,2.9,3.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,498,2,2.0,2.65,3.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,498,3,3.15,2.15,2.9
gemma-4-31b-it,1,498,1,4.0,4.4,4.4
