model,question_id,domain,level,run_count,mean_score,sd,variance,cv,scores
qwen3.6-35b-a3b-q8_0,734,D7,L3,3,0.39999999999999997,0.6928203230275509,0.48,1.7320508075688774,"[1.2, 0.0, 0.0]"
qwen3.6-35b-a3b-q8_0,736,D7,L3,3,0.5166666666666667,0.89489291724392,0.8008333333333334,1.7320508075688772,"[1.55, 0.0, 0.0]"
qwen3.5-122b-a10b,734,D7,L3,3,0.9916666666666666,0.9056535393478752,0.8202083333333333,0.913264073291975,"[0.0, 1.2, 1.775]"
qwen3.6-27b-fp8,628,D4,L3,3,1.7166666666666666,1.4969413259487938,2.240833333333333,0.8720046558925013,"[2.75, 0.0, 2.4]"
command-a-03-2025,601,D3,L2,3,1.5,1.307669683062202,1.7100000000000002,0.8717797887081348,"[2.1, 0.0, 2.4]"
gemma-4-12b-it-q8_0-llamacpp-a6000,560,D2,L3,3,1.1749999999999998,1.0213349107907748,1.0431249999999999,0.8692212006729999,"[0.0, 1.8499999999999999, 1.6749999999999998]"
qwen3.5-9b,552,D1,L3,3,1.5166666666666668,1.3156113914577259,1.7308333333333337,0.8674360822798192,"[0.0, 2.35, 2.2]"
command-a-03-2025,606,D3,L1,3,1.3583333333333334,1.178010328194678,1.3877083333333333,0.867246867382585,"[2.1, 1.975, 0.0]"
qwen3.6-35b-a3b-q8_0,730,D7,L3,3,0.825,0.7154544010627092,0.511875,0.8672174558335869,"[1.275, 1.2, 0.0]"
qwen3.6-27b-fp8,734,D7,L3,3,0.7916666666666666,0.6857173859056902,0.4702083333333333,0.8661693295650824,"[1.2, 1.175, 0.0]"
llama-3.3-70b-instruct,602,D3,L1,3,2.3,1.5588457268119895,2.4299999999999997,0.6777590116573868,"[1.4, 4.1, 1.4]"
llama4-maverick-17b-128e-moe,609,D3,L2,3,2.7333333333333334,1.6623276853055577,2.7633333333333336,0.6081686653556918,"[2.5, 1.2, 4.5]"
hermes-3-llama-3.1-405b,645,D4,L3,3,2.325,1.34233937586588,1.8018750000000001,0.5773502691896257,"[1.55, 3.875, 1.55]"
command-a-03-2025,703,D7,L3,3,2.4916666666666667,1.3091823147802346,1.7139583333333333,0.5254243403800273,"[1.825, 4.0, 1.65]"
command-a-03-2025,602,D3,L1,3,1.7,0.8660254037844388,0.7500000000000003,0.5094267081084934,"[1.2, 1.2, 2.7]"
llama-3.3-70b-instruct,645,D4,L3,3,2.4833333333333334,1.2473304828045104,1.555833333333333,0.5022807313306753,"[3.9, 2.0, 1.55]"
glm-5.1,660,D5,L3,3,2.4583333333333335,1.2268693220279547,1.5052083333333333,0.4990654869266256,"[1.75, 3.875, 1.75]"
mistral-medium-3.5,727,D7,L3,3,2.725,1.3536986370680886,1.8325000000000007,0.49677014204333525,"[4.275, 2.125, 1.775]"
command-a-03-2025,600,D3,L2,3,2.7416666666666667,1.3560819788395293,1.8389583333333337,0.4946195667499803,"[1.2, 3.75, 3.275]"
glm-5.1,726,D7,L3,3,3.1166666666666667,1.514581900503678,2.2939583333333333,0.4859621071134796,"[3.025, 4.675, 1.65]"
deepseek-v4-flash,602,D3,L1,3,1.6666666666666667,0.8082903768654761,0.6533333333333334,0.48497422611928565,"[1.2, 2.6, 1.2]"
qwen3.6-27b-fp8,600,D3,L2,3,1.6666666666666667,0.8082903768654761,0.6533333333333334,0.48497422611928565,"[1.2, 1.2, 2.6]"
qwen3.5-9b,629,D4,L3,3,2.5083333333333333,1.2150960181538466,1.4764583333333332,0.48442366172246376,"[2.1, 1.55, 3.875]"
gemma-4-31b-it,643,D4,L3,3,2.4333333333333336,1.1622535581074094,1.3508333333333333,0.4776384485372915,"[3.75, 2.0, 1.55]"
hermes-3-llama-3.1-405b,679,D6,L3,3,2.7583333333333333,1.3134718624063988,1.725208333333334,0.47618315253404186,"[2.0, 4.275, 2.0]"
command-a-03-2025,624,D4,L2,3,2.591666666666667,1.1990447586864026,1.4377083333333334,0.46265392618124856,"[3.975, 1.85, 1.95]"
qwen3.5-397b-a17b-moe,609,D3,L2,3,1.6333333333333333,0.7505553499465135,0.5633333333333334,0.45952368364072255,"[1.2, 2.5, 1.2]"
hermes-3-llama-3.1-405b,735,D7,L3,3,2.6999999999999997,1.212435565298214,1.4699999999999995,0.4490502093697089,"[2.0, 4.1, 2.0]"
gemma-4-31b-it,745,D7,L3,3,2.216666666666667,0.9814954576223639,0.9633333333333335,0.4427799056942995,"[3.35, 1.65, 1.65]"
gemma-4-31b-it,720,D7,L3,3,3.025,1.3390761740842079,1.7931249999999999,0.44266980961461416,"[4.1, 1.525, 3.45]"
qwen3.5-9b,501,D1,L3,3,2.25,0.9820259670701179,0.9643750000000003,0.43645598536449687,"[2.025, 1.4, 3.325]"
llama4-maverick-17b-128e-moe,711,D7,L3,3,2.8916666666666666,1.2535782118931924,1.5714583333333336,0.43351407904087347,"[2.35, 4.325, 2.0]"
llama-3.3-70b-instruct,680,D6,L3,3,2.6666666666666665,1.1547005383792515,1.3333333333333333,0.4330127018922193,"[2.0, 2.0, 4.0]"
mistral-medium-3.5,726,D7,L3,3,3.283333333333333,1.414508159514583,2.000833333333333,0.4308146678724618,"[2.0, 3.05, 4.8]"
command-a-03-2025,738,D7,L3,3,2.7916666666666665,1.197479992873924,1.433958333333333,0.4289480571488683,"[4.1, 2.5250000000000004, 1.75]"
hermes-3-llama-3.1-405b,720,D7,L3,3,2.7583333333333333,1.1652074207338936,1.3577083333333329,0.4224316933174237,"[2.175, 2.0, 4.1]"
qwen3.5-122b-a10b,726,D7,L3,3,3.8583333333333334,1.613291149586253,2.6027083333333336,0.4181316154435213,"[2.0, 4.9, 4.675]"
hermes-3-llama-3.1-405b,611,D3,L3,3,2.7,1.1269427669584644,1.2699999999999998,0.4173862099846164,"[2.1, 2.0, 4.0]"
llama-3.3-70b-instruct,647,D4,L3,3,2.6333333333333333,1.096965511460289,1.2033333333333334,0.41656918156719835,"[2.0, 2.0, 3.9]"
